## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value
## 2.0
SSTR-000102,"CPU Program File Name",false,,,,50,,,,"CPU program file name",,,
SBR-001001,"CPU in Run",false,"False",,,,,,,"On during Run or Debug mode",,,
C-000059,"Change_TMR_VAL",false,"False",,,,,,,,false,false,"False"
SWR-001523,"Clock Day",false,"0",,,,,,,"current Real Time Clock Calendar Day",,,
SWRW-001754,"Clock Day Set",false,"0",,,,,,,"new Real Time Clock Day (set all 3 date values then set ""Initiate_New_Date"" on)",,,
SWR-001522,"Clock Day of Week",false,"0",,,,,,,"current Real Time Clock Day of the week (1=Mon ...7=Sun)",,,
SWR-001521,"Clock Hours",false,"0",,,,,,,"current Real Time Clock Hours",,,
SWRW-001753,"Clock Hours Set",false,"0",,,,,,,"new Real Time Clock Hours (set all 3 time values then set ""Initiate_New_Time"" on)",,,
SWR-001520,"Clock Minutes",false,"0",,,,,,,"current Real Time Clock Minutes",,,
SWRW-001752,"Clock Minutes Set",false,"0",,,,,,,"new Real Time Clock Minutes (set all 3 time values then set ""Initiate_New_Time"" on)",,,
SWR-001524,"Clock Month",false,"0",,,,,,,"current Real Time Clock Calendar Month",,,
SWRW-001755,"Clock Month Set",false,"0",,,,,,,"new Real Time Clock Month (set all 3 date values then set ""Initiate_New_Date"" on)",,,
SWR-001519,"Clock Seconds",false,"0",,,,,,,"current Real Time Clock Seconds",,,
SWRW-001751,"Clock Seconds Set",false,"0",,,,,,,"new Real Time Clock Seconds (set all 3 time values then set ""Initiate_New_Time"" on)",,,
SWR-001525,"Clock Year",false,"0",,,,,,,"current Real Time Clock Calendar Year",,,
SWRW-001756,"Clock Year Set",false,"0",,,,,,,"new Real Time Clock Year (set all 3 date values then set ""Initiate_New_Date"" on)",,,
SBR-001012,"Critical Error Bit",false,"False",,,,,,,"On when a critical error is active",,,
SWR-000001,"Critical Error Log 01",false,"0",,,,,,,"most recent critical error",,,
SWR-000002,"Critical Error Log 02",false,"0",,,,,,,"2nd most recent critical error",,,
SWR-000003,"Critical Error Log 03",false,"0",,,,,,,"3rd most recent critical error",,,
SWR-000004,"Critical Error Log 04",false,"0",,,,,,,"4th most recent critical error",,,
SWR-000005,"Critical Error Log 05",false,"0",,,,,,,"5th most recent critical error",,,
SWR-000006,"Critical Error Log 06",false,"0",,,,,,,"6th most recent critical error",,,
SWR-000007,"Critical Error Log 07",false,"0",,,,,,,"7th most recent critical error",,,
SWR-000008,"Critical Error Log 08",false,"0",,,,,,,"8th most recent critical error",,,
SWR-000009,"Critical Error Log 09",false,"0",,,,,,,"9th most recent critical error",,,
SWR-000010,"Critical Error Log 10",false,"0",,,,,,,"10th most recent critical error",,,
SWR-000011,"Critical Error Log 11",false,"0",,,,,,,"11th most recent critical error",,,
SWR-000012,"Critical Error Log 12",false,"0",,,,,,,"12th most recent critical error",,,
SWR-000013,"Critical Error Log 13",false,"0",,,,,,,"13th most recent critical error",,,
SWR-000014,"Critical Error Log 14",false,"0",,,,,,,"14th most recent critical error",,,
SWR-000015,"Critical Error Log 15",false,"0",,,,,,,"15th most recent critical error",,,
SWR-000016,"Critical Error Log 16",false,"0",,,,,,,"16th most recent critical error",,,
SWR-000017,"Critical Error Log 17",false,"0",,,,,,,"17th most recent critical error",,,
SWR-000018,"Critical Error Log 18",false,"0",,,,,,,"18th most recent critical error",,,
SWR-000019,"Critical Error Log 19",false,"0",,,,,,,"19th most recent critical error",,,
SWR-000020,"Critical Error Log 20",false,"0",,,,,,,"20th most recent critical error",,,
SSTR-000001,"Critical Error Log String 01",false,,,,50,,,,"most recent critical error message",,,
SSTR-000002,"Critical Error Log String 02",false,,,,50,,,,"2nd most recent critical error message",,,
SSTR-000003,"Critical Error Log String 03",false,,,,50,,,,"3rd most recent critical error message",,,
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,
SWR-001510,"Current Critical Error",false,"0",,,,,,,"current critical error number",,,
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"current noncritical error number",,,
US8-000001,"CurrentWeather.Description",false,"0",400017,400017,,,,,,false,false,"0"
US16-000015,"CurrentWeather.FeelsLikeTemp",false,"0",400012,400012,,,,,,false,false,"0"
US16-000016,"CurrentWeather.MaxTemp",false,"0",400013,400013,,,,,,false,false,"0"
US16-000017,"CurrentWeather.MinTemp",false,"0",400014,400014,,,,,,false,false,"0"
US16-000014,"CurrentWeather.OutsideHumidity",true,"6800",400011,400011,,,,,,false,false,"0"
US16-000013,"CurrentWeather.OutsideTemp",true,"6361",400010,400010,,,,,,false,false,"0"
US16-000018,"CurrentWeather.WindDir",false,"0",400015,400015,,,,,,false,false,"0"
US16-000019,"CurrentWeather.WindSpeed",false,"0",400016,400016,,,,,,false,false,"0"
S16-000052,"DAY_HUM_MAX",true,"5600",,,,,,,,false,false,"0"
S16-000053,"DAY_HUM_MIN",true,"5000",,,,,,,,false,false,"0"
S16-000054,"DAY_TEMP_MAX",true,"7500",,,,,,,,false,false,"0"
S16-000055,"DAY_TEMP_MIN",true,"7000",,,,,,,,false,false,"0"
US16-000010,"DECIMAL_CONVERT",true,"2",,,,,,,,true,true,"2"
DI-0.1.2.13,"DI-0.1.2.13",false,"False",,,,,,,,false,false,"False"
DI-0.1.2.14,"DI-0.1.2.14",false,"False",,,,,,,,false,false,"False"
DI-0.1.2.15,"DI-0.1.2.15",false,"False",,,,,,,,false,false,"False"
DI-0.1.2.16,"DI-0.1.2.16",false,"False",,,,,,,,false,false,"False"
US16-000021,"DateCurrentCount",false,"1",,,,,,,,false,false,"0"
US16-000022,"Date_LoopCount",false,"6",,,,,,,,false,false,"0"
F32-000003,"Dose_Gallons",false,"20.0",,,,,,,,false,false,"0.0"
SWR-001526,"Ethernet Speed [External]",false,"0",,,,,,,"""Ethernet"" port speed (Ethernet 10 or 100)",,,
SWR-001527,"Ethernet Speed [Internal]",false,"0",,,,,,,"""Remote I/O"" port speed (Ethernet 10 or 100)",,,
SBR-001004,"Every Other Scan Bit",false,"False",,,,,,,"toggles at the start of each scan",,,
SWR-001509,"Firmware Version",false,"0",,,,,,,"CPU Firmware Version Number in Hex (ex: 0x0102 is version 01.02 or 1.2)",,,
SSTR-000104,"Firmware Version[CPU]",false,,,,50,,,,"CPU firmware version viewed as 001.000.009.023",,,
SWR-001528,"Firmware Version[major]",false,"0",,,,,,,"CPU firmware Major version number in hex. (ex:  0x0100 =  major version 1.0)",,,
SWR-001529,"Firmware Version[minor]",false,"0",,,,,,,"CPU firmware Minor version number in hex. (ex: 0x0917 = minor version 9.23)",,,
SBR-001003,"First Scan Bit",false,"False",,,,,,,"On during first scan in Run or Debug mode",,,
SWR-001530,"First Scan Interval [x100=usec]",false,"0",,,,,,,"Holds the value of the First Scan time",,,
SBR-001007,"Forces Enabled",false,"False",,,,,,,"On if any forces are enabled",,,
C-000030,"FuncTMRDone",false,"False",,,,,,,,false,false,"False"
C-000013,"Heatpads1",false,"False",000001,000001,,,,,,false,false,"False"
US16-000036,"Hose_Refill_Rate",true,"85",,,,,,,,false,false,"0"
US16-000023,"HourCurrentCount",false,"1",,,,,,,,false,false,"0"
US16-000007,"Humidity",false,"0",400006,400006,,,,,,false,false,"0"
US16-000006,"Humidity_Decimal",false,"0",400007,400007,,,,,,false,false,"0"
SBR-001015,"I/O Configuration Error",false,"False",,,,,,,"On if actual I/O configuration and project I/O configuration do not match",,,
SBR-001014,"I/O Error",false,"False",,,,,,,"On for any module error (such as a blown fuse)",,,
C-000034,"IN1",false,"False",,,,,,,,false,false,"False"
SWRW-001758,"Identify Module Base Number",false,"0",,,,,,,"base number of module to be identified (See ""Requested Module Name"" tag)",,,
SWRW-001757,"Identify Module Group Number",false,"0",,,,,,,"group number of module to be identified (See ""Requested Module Name"" tag)",,,
SBRW-001005,"Identify Module Request bit",false,"False",,,,,,,"set On to refresh ""Requested Module Name"" tag per the 3 ""Identify"" GBS tags",,,
SWRW-001759,"Identify Module Slot Number",false,"0",,,,,,,"slot number of module to be identified (See ""Requested Module Name"" tag)",,,
SBRW-001002,"Initiate_New_Date",false,"False",,,,,,,"set On to change clock date (see ""Clock Year Set"" tag)",,,
SBRW-001001,"Initiate_New_Time",false,"False",,,,,,,"set On to change clock time (see ""Clock Hours Set"" tag)",,,
F32-000008,"LSVP",false,"0.0",,,,,,,,false,false,"0.0"
SWR-001504,"Last Logic Scan Time [x100=usec]",false,"0",,,,,,,"most recent logic scan time",,,
SWR-001501,"Last Scan Interval [x100=usec]",false,"0",,,,,,,"most recent overall scan time",,,
US16-000035,"Leaf_Temperature",false,"0",,,,,,,,false,false,"0"
S32-000002,"MAX_HUM",false,"7500",,,,,,,,false,false,"0"
US16-000012,"MAX_TEMP",false,"7200",,,,,,,,false,false,"0"
S32-000001,"MIN_HUM",false,"6900",,,,,,,,false,false,"0"
US16-000011,"MIN_TEMP",false,"6900",,,,,,,,false,false,"0"
C-000085,"MQTT_Light_CTRL",false,"False",000010,000010,,,,,,false,false,"False"
S16-000003,"MQTT_Test",false,"0",,,,,,,,false,false,"0"
MST-0.1.3.25,"MST-0.1.3.25",false,"False",,,,,,,"Module Failed",false,false,"False"
MST-0.1.3.26,"MST-0.1.3.26",false,"False",,,,,,,"Missing 24V",false,false,"False"
MST-0.1.3.57,"MST-0.1.3.57",false,"False",,,,,,,"Under Range Error (1)",false,false,"False"
MST-0.1.3.58,"MST-0.1.3.58",false,"False",,,,,,,"Under Range Error (2)",false,false,"False"
MST-0.1.3.59,"MST-0.1.3.59",false,"False",,,,,,,"Under Range Error (3)",false,false,"False"
MST-0.1.3.60,"MST-0.1.3.60",false,"False",,,,,,,"Under Range Error (4)",false,false,"False"
MST-0.1.3.61,"MST-0.1.3.61",false,"False",,,,,,,"Under Range Error (5)",false,false,"False"
MST-0.1.3.62,"MST-0.1.3.62",false,"False",,,,,,,"Under Range Error (6)",false,false,"False"
MST-0.1.3.63,"MST-0.1.3.63",false,"False",,,,,,,"Under Range Error (7)",false,false,"False"
MST-0.1.3.64,"MST-0.1.3.64",false,"False",,,,,,,"Under Range Error (8)",false,false,"False"
MST-0.1.3.89,"MST-0.1.3.89",false,"False",,,,,,,"Over Range Error (1)",false,false,"False"
MST-0.1.3.90,"MST-0.1.3.90",false,"False",,,,,,,"Over Range Error (2)",false,false,"False"
MST-0.1.3.91,"MST-0.1.3.91",false,"False",,,,,,,"Over Range Error (3)",false,false,"False"
MST-0.1.3.92,"MST-0.1.3.92",false,"False",,,,,,,"Over Range Error (4)",false,false,"False"
MST-0.1.3.93,"MST-0.1.3.93",false,"False",,,,,,,"Over Range Error (5)",false,false,"False"
MST-0.1.3.94,"MST-0.1.3.94",false,"False",,,,,,,"Over Range Error (6)",false,false,"False"
MST-0.1.3.95,"MST-0.1.3.95",false,"False",,,,,,,"Over Range Error (7)",false,false,"False"
MST-0.1.3.96,"MST-0.1.3.96",false,"False",,,,,,,"Over Range Error (8)",false,false,"False"
S16-000050,"ModHum",false,"0",,,,,,,,false,false,"0"
S16-000051,"ModTemp",false,"0",,,,,,,,false,false,"0"
C-000074,"ModbusComm.Complete",false,"False",,,,,,,,false,false,"False"
C-000076,"ModbusComm.Error",false,"False",,,,,,,,false,false,"False"
STR-000091,"ModbusComm.ExcResponse",false,,,,15,,,,,,,
C-000073,"ModbusComm.InProgress",false,"False",,,,,,,,false,false,"False"
C-000075,"ModbusComm.Success",false,"False",,,,,,,,false,false,"False"
C-000077,"ModbusComm.Timeout",false,"False",,,,,,,,false,false,"False"
C-000078,"ModbusReq",true,"True",,,,,,,,true,false,"False"
S16-000056,"NIGHT_HUM_MAX",true,"5000",,,,,,,,false,false,"0"
S16-000057,"NIGHT_HUM_MIN",true,"4500",,,,,,,,false,false,"0"
S16-000058,"NIGHT_TEMP_MAX",true,"7000",,,,,,,,false,false,"0"
S16-000059,"NIGHT_TEMP_MIN",true,"6500",,,,,,,,false,false,"0"
SBR-001013,"Noncritical Error Bit",false,"False",,,,,,,"On when a noncritical error is active",,,
SWR-000021,"Noncritical Error Log 01",false,"0",,,,,,,"most recent noncritical error",,,
SWR-000022,"Noncritical Error Log 02",false,"0",,,,,,,"2nd most recent noncritical error",,,
SWR-000023,"Noncritical Error Log 03",false,"0",,,,,,,"3rd most recent noncritical error",,,
SWR-000024,"Noncritical Error Log 04",false,"0",,,,,,,"4th most recent noncritical error",,,
SWR-000025,"Noncritical Error Log 05",false,"0",,,,,,,"5th most recent noncritical error",,,
SWR-000026,"Noncritical Error Log 06",false,"0",,,,,,,"6th most recent noncritical error",,,
SWR-000027,"Noncritical Error Log 07",false,"0",,,,,,,"7th most recent noncritical error",,,
SWR-000028,"Noncritical Error Log 08",false,"0",,,,,,,"8th most recent noncritical error",,,
SWR-000029,"Noncritical Error Log 09",false,"0",,,,,,,"9th most recent noncritical error",,,
SWR-000030,"Noncritical Error Log 10",false,"0",,,,,,,"10th most recent noncritical error",,,
SWR-000031,"Noncritical Error Log 11",false,"0",,,,,,,"11th most recent noncritical error",,,
SWR-000032,"Noncritical Error Log 12",false,"0",,,,,,,"12th most recent noncritical error",,,
SWR-000033,"Noncritical Error Log 13",false,"0",,,,,,,"13th most recent noncritical error",,,
SWR-000034,"Noncritical Error Log 14",false,"0",,,,,,,"14th most recent noncritical error",,,
SWR-000035,"Noncritical Error Log 15",false,"0",,,,,,,"15th most recent noncritical error",,,
SWR-000036,"Noncritical Error Log 16",false,"0",,,,,,,"16th most recent noncritical error",,,
SWR-000037,"Noncritical Error Log 17",false,"0",,,,,,,"17th most recent noncritical error",,,
SWR-000038,"Noncritical Error Log 18",false,"0",,,,,,,"18th most recent noncritical error",,,
SWR-000039,"Noncritical Error Log 19",false,"0",,,,,,,"19th most recent noncritical error",,,
SWR-000040,"Noncritical Error Log 20",false,"0",,,,,,,"20th most recent noncritical error",,,
SSTR-000021,"Noncritical Error Log String 01",false,,,,50,,,,"most recent noncritical error message",,,
SSTR-000022,"Noncritical Error Log String 02",false,,,,50,,,,"2nd most recent noncritical error message",,,
SSTR-000023,"Noncritical Error Log String 03",false,,,,50,,,,"3rd most recent noncritical error message",,,
SSTR-000024,"Noncritical Error Log String 04",false,,,,50,,,,"4th most recent noncritical error message",,,
SSTR-000025,"Noncritical Error Log String 05",false,,,,50,,,,"5th most recent noncritical error message",,,
SSTR-000026,"Noncritical Error Log String 06",false,,,,50,,,,"6th most recent noncritical error message",,,
SSTR-000027,"Noncritical Error Log String 07",false,,,,50,,,,"7th most recent noncritical error message",,,
SSTR-000028,"Noncritical Error Log String 08",false,,,,50,,,,"8th most recent noncritical error message",,,
SSTR-000029,"Noncritical Error Log String 09",false,,,,50,,,,"9th most recent noncritical error message",,,
SSTR-000030,"Noncritical Error Log String 10",false,,,,50,,,,"10th most recent noncritical error message",,,
SSTR-000031,"Noncritical Error Log String 11",false,,,,50,,,,"11th most recent noncritical error message",,,
SSTR-000032,"Noncritical Error Log String 12",false,,,,50,,,,"12th most recent noncritical error message",,,
SSTR-000033,"Noncritical Error Log String 13",false,,,,50,,,,"13th most recent noncritical error message",,,
SSTR-000034,"Noncritical Error Log String 14",false,,,,50,,,,"14th most recent noncritical error message",,,
SSTR-000035,"Noncritical Error Log String 15",false,,,,50,,,,"15th most recent noncritical error message",,,
SSTR-000036,"Noncritical Error Log String 16",false,,,,50,,,,"16th most recent noncritical error message",,,
SSTR-000037,"Noncritical Error Log String 17",false,,,,50,,,,"17th most recent noncritical error message",,,
SSTR-000038,"Noncritical Error Log String 18",false,,,,50,,,,"18th most recent noncritical error message",,,
SSTR-000039,"Noncritical Error Log String 19",false,,,,50,,,,"19th most recent noncritical error message",,,
SSTR-000040,"Noncritical Error Log String 20",false,,,,50,,,,"20th most recent noncritical error message",,,
SWRW-000251,"Number of Critical Errors",false,"0",,,,,,,"number of critical errors",,,
SWRW-000252,"Number of Non-critical Errors",false,"0",,,,,,,"number of noncritical errors",,,
F32-000002,"Nut_Factor",false,"1.0",,,,,,,,false,false,"0.0"
S16-000002,"OFF_Time",true,"24",,,,,,,,false,false,"22"
US16-000008,"OFF_Time2",true,"24",,,,,,,,false,false,"0"
S16-000001,"ON_Time",true,"7",,,,,,,,false,false,"7"
US16-000009,"ON_Time2",true,"0",,,,,,,,false,false,"0"
DO-0.1.1.1,"OUT1",false,"False",,,,,,,,false,false,"False"
DO-0.1.1.2,"OUT2",false,"False",,,,,,,,false,false,"False"
DO-0.1.1.3,"OUT3",false,"False",,,,,,,,false,false,"False"
DO-0.1.1.4,"OUT4",false,"False",,,,,,,,false,false,"False"
DO-0.1.1.5,"OUT5",false,"False",,,,,,,,false,false,"False"
DO-0.1.1.7,"OUT7",false,"False",,,,,,,,false,false,"False"
C-000011,"P0",false,"False",,,,,,,,false,false,"False"
C-000001,"P1",false,"False",,,,,,,,false,false,"False"
C-000068,"P1_ALARM",false,"False",,,,,,,,false,false,"False"
S32-000040,"P1_FLOOD_TMR_VAL",false,"0",,,,,,,,false,false,"0"
S16-000060,"P1_TMR_CURRENT_DAY",false,"0",,,,,,,,false,false,"0"
S16-000061,"P1_TMR_CURRENT_HOUR",false,"0",,,,,,,,false,false,"0"
S16-000062,"P1_TMR_CURRENT_MIN",false,"0",,,,,,,,false,false,"0"
C-000037,"P1_TMR_DONE",false,"False",,,,,,,,false,false,"False"
S32-000005,"P1_TMR_PRESET",false,"17280000",,,,,,,,false,false,"0"
S32-000027,"P1_TMR_PRESET_DAY",true,"0",,,,,,,,false,false,"0"
S32-000028,"P1_TMR_PRESET_HOUR",true,"0",,,,,,,,false,false,"0"
S32-000029,"P1_TMR_PRESET_MIN",true,"0",,,,,,,,false,false,"0"
S32-000018,"P1_TMR_TIMEOUT",true,"50000",,,,,,,,false,false,"0"
C-000064,"P1_TMR_TIMEOUT_DONE",false,"False",,,,,,,,false,false,"False"
S32-000019,"P1_TMR_TIMEOUT_VAL",false,"0",,,,,,,,false,false,"0"
S32-000004,"P1_TMR_VAL",true,"0",,,,,,,,false,false,"0"
C-000080,"P1__FLOOD_TMR_DONE",false,"False",,,,,,,,false,false,"False"
S32-000039,"P1__FLOOD_TMR_PRESET",false,"0",,,,,,,,false,false,"0"
C-000002,"P2",false,"False",,,,,,,,false,false,"False"
C-000069,"P2_ALARM",false,"False",,,,,,,,false,false,"False"
S32-000041,"P2_FLOOD_TMR_VAL",false,"0",,,,,,,,false,false,"0"
C-000084,"P2_TMR_CAN_BEGIN",false,"False",,,,,,,,false,false,"False"
S16-000063,"P2_TMR_CURRENT_DAY",false,"0",,,,,,,,false,false,"0"
S16-000064,"P2_TMR_CURRENT_HOUR",false,"0",,,,,,,,false,false,"0"
S16-000065,"P2_TMR_CURRENT_MIN",false,"0",,,,,,,,false,false,"0"
C-000051,"P2_TMR_DONE",false,"False",,,,,,,,false,false,"False"
S16-000072,"P2_TMR_OFFSET",true,"32767",,,,,,,,false,false,"0"
S32-000042,"P2_TMR_OFFSET_32bit",false,"0",,,,,,,,false,false,"0"
S32-000006,"P2_TMR_PRESET",false,"17280000",,,,,,,,false,false,"0"
S32-000030,"P2_TMR_PRESET_DAY",true,"0",,,,,,,,false,false,"0"
S32-000031,"P2_TMR_PRESET_HOUR",true,"16",,,,,,,,false,false,"0"
S32-000032,"P2_TMR_PRESET_MIN",true,"0",,,,,,,,false,false,"0"
S32-000020,"P2_TMR_TIMEOUT",true,"50000",,,,,,,,false,false,"0"
